index,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed
Count,487.0,487.0,487.0,487.0,487.0,487.0
Mean,16.457715708418892,19.092597022587285,65.85381930184805,71.40657084188912,54.02874743326489,7.846878850102657
Median,17.042330000000003,20.0498,66.99,76.0,65.0,6.93
std,37.13592745767461,94.09326510118274,15.301730404764005,21.067092343794943,37.94402008535809,5.308309022015176
min,-88.21912,-179.44571000000002,19.44,1.0,0.0,0.2
max,89.22161000000001,179.44571000000002,96.8,100.0,100.0,36.91
25%,-11.02739,-58.144420000000004,53.97,60.0,15.5,3.8600000000000003
50%,17.042330000000003,20.0498,66.99,76.0,65.0,6.93
75%,47.11703000000001,106.26394000000002,77.0,87.0,90.0,10.780000000000001
