City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country_Code,Date
verkhnyaya toyma,62.15438,44.10956,39.54,84,100,3.83,ru,1600315543
soe,-11.02739,125.31125000000002,86.88,31,49,6.64,id,1600315543
norman wells,70.1743,-123.30627000000001,46.4,75,75,4.7,ca,1600315543
kiri buru,22.05478,85.21165,87.04,67,100,1.97,in,1600315543
inirida,3.0074700000000005,-66.16434000000001,71.31,98,85,1.72,co,1600315544
tuatapere,-46.114540000000005,166.41334,44.01,82,100,18.99,nz,1600315544
lebu,-32.07968,-101.25149,49.03,89,60,2.51,cl,1600315544
victoria falls,-18.04482,26.064740000000004,67.78,37,32,3.38,zw,1600315545
gasa,28.069720000000004,89.22161000000001,78.01,83,20,3.36,bt,1600315545
te anau,-38.094620000000006,163.40587000000002,44.55,87,100,4.29,nz,1600315545
hammerfest,74.18426000000001,22.05478,42.8,75,96,16.11,no,1600315545
samarai,-13.032370000000002,153.38097000000002,80.22,86,78,15.46,pg,1600315545
astaneh-ye ashrafiyeh,38.094620000000006,50.124500000000005,71.6,100,75,9.42,ir,1600315546
murdochville,49.12201,-65.16185,56.79,64,78,22.5,ca,1600315546
vilhena,-13.032370000000002,-61.15189000000001,74.91,33,77,2.13,br,1600315420
torbay,47.11703000000001,-43.10707000000001,51.01,66,90,16.11,ca,1600315400
chokurdakh,76.18924000000001,152.37848000000002,43.27,68,95,8.72,ru,1600315546
along,30.074700000000004,95.23655000000001,73.31,87,100,1.43,in,1600315547
pervomayskoye,54.134460000000004,84.20916000000001,62.53,40,0,7.56,ru,1600315547
constitucion,-31.07719,-81.20169000000001,53.15,86,48,10.16,cl,1600315547
santa marta,12.029880000000002,-74.18426000000001,73.99,88,67,5.26,co,1600315547
cidreira,-50.124500000000005,-29.072210000000002,62.01,97,100,3.56,br,1600315548
mogok,23.057270000000003,96.23904000000002,67.69,100,100,1.86,mm,1600315548
yatou,36.08964,124.30876,74.73,53,81,10.04,cn,1600315548
carutapera,6.014940000000001,-42.104580000000006,77.23,86,0,6.78,br,1600315548
bitung,2.00498,126.31374000000001,91.4,49,20,2.24,id,1600315549
veraval,18.04482,69.17181000000001,83.82,71,58,7.14,in,1600315549
torrington,43.10707000000001,-104.25896000000002,57.99,97,0,7.23,us,1600315421
vostok,48.11952000000001,150.3735,65.57,61,70,8.05,ru,1600315549
port alfred,-80.1992,45.11205,56.28,77,0,14.29,za,1600315549
bluff,-57.14193000000001,170.4233,44.01,82,100,18.99,nz,1600315266
severnyy-kospashskiy,59.146910000000005,58.144420000000004,46.99,100,100,4,ru,1600315550
port hardy,46.114540000000005,-131.32619000000003,66.2,82,90,3.36,ca,1600315550
merauke,-9.02241,137.34113000000002,83.26,75,51,20.29,id,1600315550
talnakh,75.18675,87.21663000000001,60.8,48,9,24.61,ru,1600315551
east london,-36.08964,29.072210000000002,55.4,66,9,8.05,za,1600315396
berbera,11.02739,46.114540000000005,92.61,44,0,10.13,so,1600315551
saldanha,-45.11205,-8.01992,53.6,93,1,2.24,za,1600315551
bambous virieux,-35.08715,77.19173,68,77,75,11.41,mu,1600315552
dubrovka,59.146910000000005,51.126990000000006,55.4,87,100,8.95,ru,1600315552
nome,71.17679000000001,-165.41085,50,87,90,13.87,us,1600315415
pangkalanbuun,-4.00996,112.27888000000002,92.21,44,99,5.19,id,1600315552
luorong,25.062250000000002,109.27141000000002,88.45,67,84,4.94,cn,1600315553
butaritari,29.072210000000002,172.42828000000003,83.32,71,93,18.63,ki,1600315553
san patricio,6.014940000000001,-114.28386000000002,79.68,82,100,3.71,mx,1600315553
dejen,10.0249,38.094620000000006,51.87,99,4,1.61,et,1600315553
saint-augustin,57.14193000000001,-62.15438,52.66,80,100,25.99,ca,1600315553
sobolevo,55.136950000000006,156.38844,58.66,83,100,14.41,ru,1600315554
porto belo,-27.067230000000002,-46.114540000000005,68,93,75,7.34,br,1600315370
lorengau,5.01245,144.35856,83.77,79,26,11.79,pg,1600315554
qorveh,35.08715,48.11952000000001,63.81,29,0,1.66,ir,1600315554
tevaitoa,-19.047310000000003,-153.38097000000002,79.52,75,9,13.38,pf,1600315554
barguzin,54.134460000000004,109.27141000000002,58.39,53,5,0.69,ru,1600315555
port-gentil,-4.00996,1.00249,75.83,84,100,12.97,ga,1600315555
san quintin,21.052290000000003,-128.31872,79.63,46,0,10.56,mx,1600315555
camacha,38.094620000000006,-18.04482,71.6,60,40,14.99,pt,1600315555
aktau,44.10956,51.126990000000006,55.4,58,0,2.24,kz,1600315556
mildura,-34.08466000000001,141.35109000000003,75.99,33,100,14.99,au,1600315556
sefton,-43.10707000000001,172.42828000000003,68,37,66,20.8,nz,1600315556
nikolskoye,57.14193000000001,171.42579,52,76,90,8.95,ru,1600315556
changying,34.08466000000001,114.28386000000002,46.98,95,100,5.88,cn,1600315556
caravelas,-25.062250000000002,-22.05478,67.69,86,0,4.47,br,1600315557
olafsvik,65.16185,-29.072210000000002,49.17,82,100,22.03,is,1600315557
indaiatuba,-23.057270000000003,-47.11703000000001,73.99,77,28,13.87,br,1600315306
lazarev,52.12948000000001,141.35109000000003,55.45,92,100,14.05,ru,1600315557
bengkulu,-8.01992,99.24651000000001,83.91,65,27,9.13,id,1600315557
avera,-30.074700000000004,-155.38595,71.6,97,90,11.41,pf,1600315558
sorland,73.18177000000001,9.02241,42.8,93,75,3.36,no,1600315558
chimbote,-10.0249,-80.1992,58.8,91,18,4.94,pe,1600315558
bonavista,51.126990000000006,-49.12201,53.73,60,79,18.75,ca,1600315558
la ronge,57.14193000000001,-107.26643000000001,33.8,86,40,3.98,ca,1600315559
wenling,28.069720000000004,121.30129000000001,90,77,95,1.01,cn,1600315559
khatanga,81.20169000000001,108.26892000000001,57.15,65,6,6.29,ru,1600315559
guiratinga,-16.03984,-54.134460000000004,74.17,32,0,3.74,br,1600315559
souillac,-53.13197,74.18426000000001,68,77,75,11.41,mu,1600315559
kodiak,44.10956,-160.3984,53.6,87,90,13.87,us,1600315560
cayenne,10.0249,-43.10707000000001,75.2,100,58,2.24,gf,1600315560
skelleftea,65.16185,20.0498,46.4,70,86,19.46,se,1600315560
praya,-11.02739,116.28884000000001,80.02,84,52,9.35,id,1600315560
tuktoyaktuk,85.21165,-134.33366,42.8,87,90,8.05,ca,1600315560
lerwick,62.15438,1.00249,50,81,100,13.87,gb,1600315561
kudahuvadhoo,2.00498,72.17928,82.58,77,100,10.83,mv,1600315561
hilo,27.067230000000002,-139.34611,82.4,58,1,4.7,us,1600315541
ponta do sol,37.092130000000004,-20.0498,68,68,20,4.7,pt,1600315561
kyra,50.124500000000005,111.27639,56.75,48,1,8.32,ru,1600315562
bela,27.067230000000002,65.16185,91.83,64,74,6.58,pk,1600315562
guantanamo,19.047310000000003,-75.18675,84.2,83,40,3.36,cu,1600315562
san isidro,7.017430000000001,127.31623000000002,60.8,82,90,9.17,ph,1600315563
clyde river,71.17679000000001,-78.19422,30.2,92,75,2.24,ca,1600315563
pangnirtung,62.15438,-64.15936,33.91,82,40,3.51,ca,1600315563
harper,-1.00249,-10.0249,74.97,89,98,12.03,lr,1600315563
milledgeville,33.082170000000005,-83.20667,71.6,94,90,14.99,us,1600315563
narsaq,87.21663000000001,-63.156870000000005,41,86,53,8.05,gl,1600315564
taltal,-25.062250000000002,-72.17928,56.3,66,3,2.44,cl,1600315564
kibondo,-4.00996,31.07719,60.35,71,86,2.59,tz,1600315564
dulce nombre de culmi,15.037350000000002,-85.21165,72.34,93,79,1.45,hn,1600315564
guerrero negro,16.03984,-129.32121,79.45,52,6,10.6,mx,1600315564
yeniseysk,59.146910000000005,91.22659000000002,55.99,83,100,7.78,ru,1600315565
mahebourg,-32.07968,67.16683,68,77,75,11.41,mu,1600315565
fukue,32.07968,125.31125000000002,78.8,78,75,1.12,jp,1600315565
pisco,-20.0498,-87.21663000000001,62.6,82,1,9.17,pe,1600315565
la ciotat,42.104580000000006,5.01245,69.01,93,0,4.7,fr,1600315566
general pico,-35.08715,-64.15936,54.72,55,0,6.78,ar,1600315277
ulladulla,-38.094620000000006,154.38346,73.4,43,40,17.22,au,1600315566
mar del plata,-68.16932000000001,-25.062250000000002,46.99,93,90,8.05,ar,1600315566
ishinomaki,38.094620000000006,142.35358000000002,77,78,75,10.29,jp,1600315566
syedove,47.11703000000001,38.094620000000006,63.25,50,0,13.15,ua,1600315567
mitsamiouli,-7.017430000000001,45.11205,76.23,78,9,8.19,km,1600315567
geraldton,-29.072210000000002,111.27639,68,40,0,19.46,au,1600315567
kapaa,18.04482,-165.41085,84.2,62,20,10.29,us,1600315567
cabedelo,-4.00996,-26.064740000000004,71.6,100,20,5.82,br,1600315568
champerico,8.01992,-95.23655000000001,66.99,96,100,6.2,gt,1600315568
springbok,-30.074700000000004,18.04482,42.15,80,0,5.37,za,1600315568
banda aceh,5.01245,94.23406000000001,87.08,59,98,14.07,id,1600315568
mount gambier,-52.12948000000001,131.32619000000003,57.2,76,90,17.22,au,1600315568
gat,25.062250000000002,8.01992,78.01,87,0,2.19,ly,1600315383
stulovo,59.146910000000005,50.124500000000005,38.59,86,21,7.43,ru,1600315569
cobija,-11.02739,-69.17181000000001,81.39,50,63,2.62,bo,1600315569
doka,13.032370000000002,35.08715,69.4,87,100,5.77,sd,1600315569
nalut,29.072210000000002,10.0249,65.7,60,0,8.68,ly,1600315569
coos bay,42.104580000000006,-130.3237,66,100,90,8.05,us,1600315493
port augusta,-31.07719,138.34362000000002,75,34,100,10,au,1600315570
capanema,-1.00249,-47.11703000000001,73.13,94,4,3.83,br,1600315570
qasigiannguit,66.16434000000001,-47.11703000000001,33.8,86,100,9.17,gl,1600315567
villa del rosario,10.0249,-72.17928,71.89,80,88,3.42,ve,1600315570
college,75.18675,-146.36354000000003,55.4,66,75,4.7,us,1600315571
zvishavane,-20.0498,30.074700000000004,66.65,43,2,1.16,zw,1600315571
zhangjiakou,42.104580000000006,114.28386000000002,65.03,37,0,13.82,cn,1600315571
menongue,-15.037350000000002,18.04482,54.81,39,3,3.6,ao,1600315571
zambezi,-13.032370000000002,23.057270000000003,68.41,69,71,4.85,zm,1600315571
