City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country_Code
punta arenas,-62.15438,-87.21663000000001,44.6,71,100,17.22,cl
nouadhibou,22.05478,-22.05478,77,73,20,12.75,mr
kaitangata,-60.14940000000001,172.42828000000003,63,41,59,23,nz
mataura,-60.14940000000001,-159.39591000000001,55,75,44,15.99,pf
tuktoyaktuk,78.19422,-125.31125000000002,39.2,86,90,27.51,ca
asau,-10.0249,175.43575,55,98,11,3.85,tv
ushuaia,-56.13944000000001,-67.16683,44.6,52,75,24.16,ar
vila franca do campo,35.08715,-24.059760000000004,71.6,78,40,14.99,pt
punta arenas,-66.16434000000001,-86.21414000000001,44.6,71,100,17.22,cl
geraldton,-34.08466000000001,86.21414000000001,80.6,24,32,19.46,au
punta arenas,-88.21912,-122.30378000000002,44.6,71,100,17.22,cl
vaini,-82.20418000000001,-174.43326000000002,71.6,73,75,8.05,to
puerto ayora,-10.0249,-95.23655000000001,68,90,85,8.01,ec
albany,-49.12201,123.30627000000001,64,99,93,5.12,au
esperance,-35.08715,122.30378000000002,64.4,63,55,11.41,au
longyearbyen,85.21165,18.04482,35.6,87,75,1.81,sj
la primavera,5.01245,-70.1743,79.56,78,90,0.74,co
haines junction,59.146910000000005,-140.3486,42.3,63,1,2.8,ca
vaini,-89.22161000000001,-180.4482,71.6,73,75,8.05,to
mataura,-84.20916000000001,-162.40338000000003,55,75,44,15.99,pf
punta arenas,-65.16185,-94.23406000000001,44.6,71,100,17.22,cl
kumluca,36.08964,30.074700000000004,78.94,59,0,3.02,tr
cidreira,-45.11205,-34.08466000000001,65.73,89,98,8.81,br
abbeville,29.072210000000002,-92.22908000000001,59,93,0,6.93,us
muros,43.10707000000001,-11.02739,64,89,100,7.36,es
hithadhoo,-23.057270000000003,82.20418000000001,81.34,68,30,4.65,mv
sao filipe,12.029880000000002,-39.09711,78.67,82,93,8.48,cv
ca mau,9.02241,105.26145000000001,78.28,89,98,7.38,vn
carnarvon,-28.069720000000004,86.21414000000001,78.8,61,0,4.7,au
barrow,83.20667,-158.39342000000002,41,86,90,13.87,us
bagdarin,55.136950000000006,114.28386000000002,48.67,91,100,1.57,ru
brazzaville,-4.00996,15.037350000000002,73.4,78,40,5.75,cg
saint-paul,-21.052290000000003,53.13197,64.4,82,20,5.82,re
ushuaia,-82.20418000000001,-68.16932000000001,44.6,52,75,24.16,ar
hithadhoo,-7.017430000000001,79.19671000000001,81.34,68,30,4.65,mv
hervey bay,-25.062250000000002,155.38595,77,63,3,5.01,au
rikitea,-38.094620000000006,-118.29382000000001,73.65,85,23,15.35,pf
ewa beach,16.03984,-159.39591000000001,87.8,54,1,11.41,us
port macquarie,-32.07968,158.39342000000002,78.01,47,12,1.99,au
fare,-11.02739,-147.36603000000002,79,77,20,10.98,pf
punta arenas,-89.22161000000001,-112.27888000000002,44.6,71,100,17.22,cl
hermanus,-85.21165,11.02739,55,65,18,5.99,za
gimli,53.13197,-97.24153000000001,45,99,21,4.59,ca
esperance,-43.10707000000001,126.31374000000001,64.4,63,55,11.41,au
college,74.18426000000001,-147.36603000000002,57.2,41,75,0.78,us
port elizabeth,-69.17181000000001,29.072210000000002,51.8,76,0,8.05,za
kargasok,59.146910000000005,80.1992,54.61,74,90,8.75,ru
rikitea,-75.18675,-127.31623000000002,73.65,85,23,15.35,pf
tasiilaq,73.18177000000001,-42.104580000000006,28.47,96,98,3.13,gl
punta arenas,-87.21663000000001,-122.30378000000002,44.6,71,100,17.22,cl
new norfolk,-76.18924000000001,134.33366,57,57,84,8.01,au
vaini,-52.12948000000001,-171.42579,71.6,73,75,8.05,to
nieuw amsterdam,6.014940000000001,-55.136950000000006,80.01,90,0,1.99,sr
carnarvon,-30.074700000000004,96.23904000000002,78.8,61,0,4.7,au
nigde,38.094620000000006,35.08715,53.04,74,0,1.81,tr
kapaa,15.037350000000002,-172.42828000000003,86,58,75,10.29,us
mataura,-34.08466000000001,-147.36603000000002,55,75,44,15.99,pf
lagoa,49.12201,-31.07719,71.1,83,100,18.25,pt
hermanus,-83.20667,3.0074700000000005,55,65,18,5.99,za
butaritari,18.04482,163.40587000000002,83.64,70,0,13.42,ki
mandalgovi,44.10956,105.26145000000001,50.67,42,0,10.67,mn
albany,-63.156870000000005,115.28635000000001,64,99,93,5.12,au
berga,42.104580000000006,2.00498,57.2,95,90,13.87,es
ushuaia,-80.1992,-56.13944000000001,44.6,52,75,24.16,ar
kapaa,38.094620000000006,-178.44322000000003,86,58,75,10.29,us
saint-philippe,-35.08715,58.144420000000004,64.4,93,75,21.92,re
yellandu,18.04482,80.1992,80.4,86,80,4.72,in
vanimo,-3.0074700000000005,139.34611,86.9,67,100,7.4,pg
alekseyevsk,59.146910000000005,109.27141000000002,54.1,67,95,12.33,ru
pouebo,-18.04482,165.41085,75.81,67,25,12.66,nc
clyde river,70.1743,-72.17928,35.6,80,90,2.24,ca
ushuaia,-73.18177000000001,-47.11703000000001,44.6,52,75,24.16,ar
rikitea,-82.20418000000001,-137.34113000000002,73.65,85,23,15.35,pf
borda da mata,-22.05478,-46.114540000000005,63.93,44,0,5.35,br
channel-port aux basques,48.11952000000001,-59.146910000000005,60.01,82,97,20.54,ca
constitucion,15.037350000000002,-123.30627000000001,50.16,68,0,9.31,mx
kavaratti,9.02241,64.15936,82.02,80,100,18.23,in
belaya gora,67.16683,147.36603000000002,58.44,37,3,15.75,ru
bethel,59.146910000000005,-163.40587000000002,68,93,52,5.14,us
khatanga,89.22161000000001,97.24153000000001,54.86,51,0,6.89,ru
kapaa,18.04482,-162.40338000000003,86,58,75,10.29,us
carson city,39.09711,-119.29631,77,10,1,6.31,us
namatanai,8.01992,159.39591000000001,84.51,73,18,12.26,pg
shimoda,26.064740000000004,140.3486,78.8,88,75,8.05,jp
rikitea,-76.18924000000001,-137.34113000000002,73.65,85,23,15.35,pf
emerald,-25.062250000000002,146.36354000000003,82.4,39,75,14.99,au
touros,0.0,-33.082170000000005,73.4,78,20,4.7,br
roald,65.16185,4.00996,51.8,81,100,5.82,no
bluff,-77.19173,156.38844,55,75,4,15.99,nz
sitka,46.114540000000005,-143.35607000000002,62.6,29,1,5.82,us
busselton,-41.102090000000004,108.26892000000001,64.99,63,84,1.99,au
georgetown,-6.014940000000001,-21.052290000000003,84.2,78,20,3.36,sh
alindao,5.01245,21.052290000000003,70.45,93,100,0.67,cf
upernavik,71.17679000000001,-56.13944000000001,31.37,94,92,4.18,gl
tomatlan,19.047310000000003,-108.26892000000001,77.27,89,100,1.72,mx
plettenberg bay,-41.102090000000004,23.057270000000003,53.65,55,0,8.7,za
barrow,85.21165,-153.38097000000002,41,86,90,13.87,us
butaritari,24.059760000000004,175.43575,83.64,70,0,13.42,ki
aklavik,71.17679000000001,-138.34362000000002,41,70,75,3.87,ca
mandalgovi,43.10707000000001,105.26145000000001,50.67,42,0,10.67,mn
anandnagar,27.067230000000002,83.20667,83.28,83,6,8.68,in
yumen,40.0996,96.23904000000002,61.75,27,32,8.81,cn
rikitea,-82.20418000000001,-137.34113000000002,73.65,85,23,15.35,pf
airai,8.01992,144.35856,75.15,38,1,7.76,pw
arraial do cabo,-29.072210000000002,-33.082170000000005,73.4,78,0,18.34,br
mataura,-86.21414000000001,-152.37848000000002,55,75,44,15.99,pf
msanga,-6.014940000000001,36.08964,64.4,82,5,11.41,tz
atuona,-5.01245,-132.32868000000002,78.62,75,2,15.23,pf
victoria,-7.017430000000001,60.14940000000001,87.01,70,55,10,sc
faya,20.0498,24.059760000000004,68,18,67,5.82,td
khatanga,88.21912,101.25149,54.86,51,0,6.89,ru
butaritari,20.0498,169.42081000000002,83.64,70,0,13.42,ki
yar-sale,73.18177000000001,69.17181000000001,47.17,80,100,14.94,ru
castro,-53.13197,-100.24900000000001,66.02,44,63,3.15,cl
new norfolk,-45.11205,144.35856,57,57,84,8.01,au
ogori,34.08466000000001,131.32619000000003,77,64,75,11.41,jp
bowen,-17.042330000000003,149.37101,78.8,54,40,21.92,au
tiksi,80.1992,131.32619000000003,45.79,77,7,4.59,ru
rikitea,-88.21912,-127.31623000000002,73.65,85,23,15.35,pf
carutapera,3.0074700000000005,-43.10707000000001,77.31,84,27,5.79,br
zeya,56.13944000000001,127.31623000000002,70.74,63,100,2.98,ru
avarua,-20.0498,-155.38595,73.4,64,48,10.29,ck
butaritari,28.069720000000004,169.42081000000002,83.64,70,0,13.42,ki
dikson,89.22161000000001,75.18675,42.22,99,100,18.03,ru
tasiilaq,67.16683,-38.094620000000006,28.47,96,98,3.13,gl
hithadhoo,-3.0074700000000005,66.16434000000001,81.34,68,30,4.65,mv
ballina,-32.07968,162.40338000000003,81,64,0,9.17,au
riverton,43.10707000000001,-108.26892000000001,75.2,31,1,6.93,us
albany,-71.17679000000001,123.30627000000001,64,99,93,5.12,au
dutlwe,-24.059760000000004,24.059760000000004,54.36,39,0,5.64,bw
lebu,-38.094620000000006,-105.26145000000001,46.67,82,0,18.88,cl
saint-andre-les-vergers,48.11952000000001,4.00996,51.8,76,0,1.12,fr
zhangye,40.0996,101.25149,68.65,27,20,10.16,cn
hualmay,-18.04482,-88.21912,60.1,84,20,8.68,pe
mataura,-37.092130000000004,-154.38346,55,75,44,15.99,pf
albany,-69.17181000000001,117.29133000000002,64,99,93,5.12,au
wamba,1.00249,27.067230000000002,70.23,94,99,2.37,cd
tasiilaq,83.20667,-39.09711,28.47,96,98,3.13,gl
kholm,59.146910000000005,33.082170000000005,46.24,93,0,8.59,ru
butia,-30.074700000000004,-52.12948000000001,66.51,96,82,4.18,br
channel-port aux basques,48.11952000000001,-59.146910000000005,60.01,82,97,20.54,ca
vaini,-58.144420000000004,-172.42828000000003,71.6,73,75,8.05,to
tiksi,85.21165,124.30876,45.79,77,7,4.59,ru
necochea,-51.126990000000006,-53.13197,46,77,0,8.99,ar
new norfolk,-63.156870000000005,129.32121,57,57,84,8.01,au
namtsy,63.156870000000005,129.32121,57.2,50,3,11.18,ru
yellowknife,68.16932000000001,-109.27141000000002,37.4,64,75,4.7,ca
ponta do sol,18.04482,-41.102090000000004,69.8,73,20,10.29,cv
cape town,-71.17679000000001,-6.014940000000001,55,76,20,9.17,za
arrecife,28.069720000000004,-12.029880000000002,71.6,88,0,8.05,es
severnoye,56.13944000000001,78.19422,53.04,77,98,4.74,ru
inhambane,-22.05478,39.09711,68.41,83,1,5.26,mz
aykhal,64.15936,110.27390000000001,50,66,0,4.47,ru
severo-kurilsk,40.0996,165.41085,53.24,67,0,14.29,ru
povenets,62.15438,35.08715,47.05,86,0,13.13,ru
hermanus,-60.14940000000001,9.02241,55,65,18,5.99,za
bambous virieux,-27.067230000000002,77.19173,69.8,83,75,12.75,mu
carroll,42.104580000000006,-95.23655000000001,72,85,100,4.56,us
punta arenas,-51.126990000000006,-77.19173,44.6,71,100,17.22,cl
nikolskoye,43.10707000000001,170.4233,52,93,0,11.18,ru
rikitea,-27.067230000000002,-115.28635000000001,73.65,85,23,15.35,pf
bredasdorp,-55.136950000000006,21.052290000000003,53.6,71,5,12.75,za
lavrentiya,71.17679000000001,-167.41583000000003,43.12,93,100,15.79,ru
torbay,35.08715,-47.11703000000001,55.99,81,90,8.05,ca
jamestown,-13.032370000000002,-7.017430000000001,64.99,93,40,8.05,sh
bardiyah,31.07719,26.064740000000004,73.62,77,0,5.93,ly
lompoc,22.05478,-129.32121,57.99,93,1,6.93,us
cherskiy,87.21663000000001,158.39342000000002,53.98,50,79,10.13,ru
codrington,21.052290000000003,-53.13197,56.86,71,79,11.5,ag
busselton,-51.126990000000006,97.24153000000001,64.99,63,84,1.99,au
ayan,57.14193000000001,138.34362000000002,62.29,72,100,6.22,ru
arraial do cabo,-42.104580000000006,-28.069720000000004,73.4,78,0,18.34,br
hilo,6.014940000000001,-159.39591000000001,82.4,61,90,8.05,us
ushuaia,-63.156870000000005,-54.134460000000004,44.6,52,75,24.16,ar
kodiak,52.12948000000001,-157.39093000000003,57.2,58,1,4.7,us
kalinovo,57.14193000000001,60.14940000000001,42.8,93,82,4.47,ru
busselton,-76.18924000000001,79.19671000000001,64.99,63,84,1.99,au
rikitea,-87.21663000000001,-129.32121,73.65,85,23,15.35,pf
busselton,-32.07968,112.27888000000002,64.99,63,84,1.99,au
ushuaia,-59.146910000000005,-61.15189000000001,44.6,52,75,24.16,ar
margate,-34.08466000000001,34.08466000000001,63,90,0,4.9,za
vaini,-85.21165,-171.42579,71.6,73,75,8.05,to
sibolga,-4.00996,91.22659000000002,85.3,58,81,3.27,id
jamestown,-32.07968,-11.02739,64.99,93,40,8.05,sh
norman wells,65.16185,-128.31872,44.6,52,40,3.36,ca
kruisfontein,-63.156870000000005,27.067230000000002,51.19,67,0,10.29,za
jamestown,-11.02739,-5.01245,64.99,93,40,8.05,sh
marzuq,24.059760000000004,13.032370000000002,78.33,42,57,4.09,ly
pangnirtung,69.17181000000001,-61.15189000000001,36.18,80,57,1.12,ca
kapaa,37.092130000000004,-164.40836000000002,86,58,75,10.29,us
east london,-44.10956,35.08715,60.62,59,12,8.55,za
bluff,-69.17181000000001,169.42081000000002,55,75,4,15.99,nz
mar del plata,-47.11703000000001,-46.114540000000005,46.4,75,0,9.17,ar
norman wells,75.18675,-121.30129000000001,44.6,52,40,3.36,ca
mataura,-84.20916000000001,-149.37101,55,75,44,15.99,pf
barrow,70.1743,-157.39093000000003,41,86,90,13.87,us
vaini,-82.20418000000001,-172.42828000000003,71.6,73,75,8.05,to
erzin,47.11703000000001,95.23655000000001,80.01,81,27,1.05,ru
punta arenas,-77.19173,-92.22908000000001,44.6,71,100,17.22,cl
loja,37.092130000000004,-4.00996,52.81,93,3,4.56,es
okhotsk,59.146910000000005,143.35607000000002,63.01,47,68,5.41,ru
barrow,85.21165,-150.3735,41,86,90,13.87,us
bredasdorp,-76.18924000000001,27.067230000000002,53.6,71,5,12.75,za
vao,-24.059760000000004,171.42579,69.39,80,10,16.4,nc
roma,-28.069720000000004,147.36603000000002,63,93,75,6.35,au
pisco,-24.059760000000004,-98.24402,62.6,82,20,3.36,pe
lebu,-30.074700000000004,-102.25398000000001,46.67,82,0,18.88,cl
merauke,-10.0249,140.3486,81.77,62,17,17.31,id
albany,-89.22161000000001,110.27390000000001,64,99,93,5.12,au
takoradi,-1.00249,-1.00249,75.63,92,96,7.4,gh
tuktoyaktuk,89.22161000000001,-130.3237,39.2,86,90,27.51,ca
busselton,-51.126990000000006,82.20418000000001,64.99,63,84,1.99,au
ahipara,-36.08964,163.40587000000002,57.33,64,66,10.98,nz
rikitea,-25.062250000000002,-137.34113000000002,73.65,85,23,15.35,pf
hermanus,-66.16434000000001,13.032370000000002,55,65,18,5.99,za
tasiilaq,59.146910000000005,-32.07968,28.47,96,98,3.13,gl
nome,70.1743,-163.40587000000002,51.8,76,90,20.8,us
lagoa,44.10956,-29.072210000000002,71.1,83,100,18.25,pt
keflavik,63.156870000000005,-24.059760000000004,44.6,87,75,10.29,is
ribeira grande,35.08715,-42.104580000000006,71.76,82,100,16.08,pt
busselton,-68.16932000000001,93.23157,64.99,63,84,1.99,au
damietta,32.07968,32.07968,77,83,0,6.93,eg
esperance,-36.08964,126.31374000000001,64.4,63,55,11.41,au
port elizabeth,-66.16434000000001,32.07968,51.8,76,0,8.05,za
mataura,-55.136950000000006,-160.3984,55,75,44,15.99,pf
bredasdorp,-76.18924000000001,18.04482,53.6,71,5,12.75,za
barrow,78.19422,-147.36603000000002,41,86,90,13.87,us
miass,55.136950000000006,60.14940000000001,44.02,79,85,4.92,ru
lebu,-33.082170000000005,-95.23655000000001,46.67,82,0,18.88,cl
kuryk,42.104580000000006,51.126990000000006,67.26,55,0,3.67,kz
puerto ayora,-10.0249,-92.22908000000001,68,90,85,8.01,ec
leningradskiy,71.17679000000001,176.43824,43.45,73,100,7.61,ru
kavieng,17.042330000000003,156.38844,84.06,76,33,13.33,pg
grottammare,43.10707000000001,14.034860000000002,66,28,0,3,it
hilo,5.01245,-154.38346,82.4,61,90,8.05,us
rikitea,-31.07719,-106.26394,73.65,85,23,15.35,pf
taoudenni,21.052290000000003,-4.00996,98.44,13,15,9.46,ml
bluff,-84.20916000000001,176.43824,55,75,4,15.99,nz
jamestown,-38.094620000000006,-5.01245,64.99,93,40,8.05,sh
mataura,-61.15189000000001,-152.37848000000002,55,75,44,15.99,pf
ribeira grande,37.092130000000004,-34.08466000000001,71.76,82,100,16.08,pt
kerchevskiy,60.14940000000001,56.13944000000001,50.65,94,100,13.69,ru
ushuaia,-63.156870000000005,-49.12201,44.6,52,75,24.16,ar
hilo,17.042330000000003,-146.36354000000003,82.4,61,90,8.05,us
dunedin,-53.13197,175.43575,64,49,96,13,nz
albany,-53.13197,115.28635000000001,64,99,93,5.12,au
union de tula,20.0498,-104.25896000000002,68.95,85,100,4.79,mx
lerwick,62.15438,1.00249,53.6,100,100,2.66,gb
san cristobal,-2.00498,-89.22161000000001,66.67,88,96,3.04,ec
port alfred,-55.136950000000006,37.092130000000004,56.48,65,0,10.4,za
birjand,33.082170000000005,58.144420000000004,46.4,33,0,11.41,ir
port elizabeth,-59.146910000000005,31.07719,51.8,76,0,8.05,za
